id,name,city,rating,rating_count,cost,cuisine,address
488029,Kamla,"Vastrapur,Ahmedabad",0,Too Few Ratings,400,"Street Food,Fast Food","Kamla, 444-445, next to ramapir mandir, bodakdev  380054"
423532,Arpit Ragada Pettice,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"Chaat,Snacks","Arpit Ragada Pettice, Nukkad, Judges Bunglow Rd, opp. Atithi Dining Hall, Bodakdev, Ahmedabad, Gujarat 380054, India"
443240,Baap No Bagicho,"Vastrapur,Ahmedabad",0,Too Few Ratings,400,"North Indian,Tandoor","Baap No Bagicho, SHOP NO.22, GF, ISCON EMPORIO, BESIDE STAR BAZAR,  JODHPUR CHAR RASTA, SATELLITE,- 380015"
378612,Baskin Robbins,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,"Desserts,Ice Cream","Baskin Robbins, Shop no. 2,l shahi blg. Hotel Treebo trend Tribecca inn, near- ICICI bank, vastrapur lake, Ahmedabad-380015"
51094,Sankalp,"Vastrapur,Ahmedabad",3.9,20+ ratings,350,"South Indian,Beverages","Sankalp, 3, Sankalp House, Near Rajpath Club, S.G Highway, Vastrapur, Ahmedabad"
52186,William John's pizza,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,"Italian,Pizzas","William John's pizza, Super Plaza, Sandesh Presh Road, Vastrapur, Ahmedabad"
148407,Yummy Food Corner,"Vastrapur,Ahmedabad",0,Too Few Ratings,350,"Chinese,Biryani","Yummy Food Corner, Opposite The Grand BhagwatI, Near Hotel Grand Eden, Bodakdev, Ahmedabad"
121267,Gajanand Pauva House,"Vastrapur,Ahmedabad",4.2,100+ ratings,200,"Street Food,Snacks","Gajanand Pauva House, Shop 12 Gf, Himalaya Arcade, Block-A, Opposite Vastrapur Lake, Vastrapur, Ahmedabad"
483939,Tokyo Town,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,"Italian,Desserts","Tokyo Town, Shop Address-GF- 17, MANGALJYOT COMPLEX, JODHPUR CROSS ROAD, JODHPUR GAM ROAD,  SATELLITE0 380015"
411431,Shreeji Farali Center,"Vastrapur,Ahmedabad",0,Too Few Ratings,150,"Street Food,Indian","Shreeji Farali Center, Drive In Rd, Sunrise Park, Gurukul, Ahmedabad, Ahmadabad City, Ahmadabad, Gujarat, 380059"
493611,Maharaj Sandwich,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,"Fast Food,Street Food","Maharaj Sandwich, NR. Orchid complex, thajtejgam, ahmedabad   380054"
431046,Cabana,"Vastrapur,Ahmedabad",0,Too Few Ratings,500,"Continental,Chinese","Cabana, Beside zodiac marquis, behind rajpath club, Bodakdev, Ahmedabad, Gujarat 380054"
499152,Delhi Belly-Bodakdev,"Vastrapur,Ahmedabad",0,Too Few Ratings,400,"Chinese,Snacks","Delhi Belly-Bodakdev, SHOP-17, CORPORATE HOUSE, S.G.HIGHWAY,BODAKDEV, AHMEDABAD-380054"
481989,Live Cake Company,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,Bakery,"Live Cake Company, Live Cake Company  340/112, (Cellar) Jay Gopal Soc, Balaji Complex, Opp.Judges Bunglows, Bodakdev, Ahmedabad Municipal Corporation, Ahmedabad Municipal Corporation, Gujarat-380059"
42220,Ab Chai Pe Charcha,"Vastrapur,Ahmedabad",3,50+ ratings,200,"Snacks,Beverages","Ab Chai Pe Charcha, Shop no 3, Umiya Vijay Complex, Opp Vodafone store, Shivranjani, Satellite, Ahmedabad"
525648,The Cafe Baraco - The Restro Cafe,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,"Beverages,Pizzas","The Cafe Baraco - The Restro Cafe, SHOP NO. UPPER LEVEL 1 & 2, CORPORATE HOUSE, NR. PAKWAN CROSS ROAD, BODAKDEV, AHMEDABAD-380054"
67209,Golden Brown,"Vastrapur,Ahmedabad",4.7,20+ ratings,300,Desserts,"Golden Brown, AMC Dome No. 3, near Gordhan thal restaurant, opp. Rajpath club, Sarkhej - Gandhinagar Hwy, Bodakdev, Ahmedabad, Gujarat 380054"
99279,Rotti Shotti,"Vastrapur,Ahmedabad",4,20+ ratings,600,"North Indian,Tandoor","Rotti Shotti, 1/C, Ground Floor, Patel Avenue, Near Gurudwara, Thaltej, Ahmedabad"
351166,V Cafe - Meals By PVR,"Vastrapur,Ahmedabad",4,100+ ratings,300,"Pizzas,Snacks","V Cafe - Meals By PVR, 2nd Floor Acropolis Mall, Cross Road, Sarkhej - Gandhinagar Highway, A/604, Drive In Rd, Thaltej, Ahmedabad, Gujarat 380059"
295493,Cake Jsk Live Cake,"Vastrapur,Ahmedabad",3.8,20+ ratings,600,Bakery,"Cake Jsk Live Cake, Near Ishwar Hotel, Drive In Rd, below Sankalp Restaurant, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052"
548890,Toom Yum,"Vastrapur,Ahmedabad",0,Too Few Ratings,1200,"Indian,Seafood","Toom Yum, 17/18 , FF Indraplus complex , near Himalaya mall ,Drive In Rd, Memnagar, Gurukul, Ahmedabad, Gujarat 380052, India"
467202,Jsm Maggi And Pasta,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"Pastas,Snacks","Jsm Maggi And Pasta, GF-006, SATYAM MALL, OPP SAMAN COMPLEX, NR VISHWESHWAR MAHADEV MANDIR, SETTELITE, AHEMDABAD"
400976,Jay Kalyan Poha House,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,Snacks,"Jay Kalyan Poha House, Lower Level 35, Indraprasth Drive In Road, Gurukul, Ahmedabad"
524564,John Banega Don,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,Fast Food,"John Banega Don, 61 RANUJNAGAR VIBHAG-1 OPP  SUNDERVAN JODHPUR TEKRA ,"
534359,Khichdi Tales,"Vastrapur,Ahmedabad",0,Too Few Ratings,350,"Indian,North Indian","Khichdi Tales, """"""Prime Plaza, FF 9/10, NFD Circle, Bodakdev, Ahmedabad, Gujarat 380054"""""""
486086,Papa Louie s Pizza,"Vastrapur,Ahmedabad",0,Too Few Ratings,700,Pizzas,"Papa Louie s Pizza, ""1st Floor, Shilp Square A, Opp Himalaya Mall, Drive In Rd, Sunrise Park, Gurukul, Ahmedabad, Gujarat 380052"
567093,JAY AMBE FARSANWALA (maharaj),"Vastrapur,Ahmedabad",0,Too Few Ratings,100,"Snacks,Gujarati","JAY AMBE FARSANWALA (maharaj), 2,PAYAL PARK PART-1 , SHOPPING CENTER,OPP-SUNDARVAN,JODHPUR SATELLITE,Ahmedabad-380015"
374053,Tarla Daily Food,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,Combo,"Tarla Daily Food, 32, Premchandnagar Row House, Gate No.10, Behind Lenovo Show-Room, Judges Bunglow Road, Bodakdev, Ahmedabad-380054."
546599,Bigspoon X,"Vastrapur,Ahmedabad",0,Too Few Ratings,350,Biryani,"Bigspoon X, """"""001A, GROUND FLOOR, ELANZA VERTEX, MOUJE BODAKDEV, Ahmedabad Municipal Corporation, Ahmedabad, Gujarat-380054"""""""
126707,Hari Om Centre,"Vastrapur,Ahmedabad",4,100+ ratings,200,"North Indian,Gujarati","Hari Om Centre, Shop No.18, Balaji Avenue, Opp. Reliance Jewellers, Mansi Cross Road, Vastrapur, Ahmedabad"
435410,Lunch Buffet,"Vastrapur,Ahmedabad",0,Too Few Ratings,320,"Indian,Biryani","Lunch Buffet, 6/1, Sunflower Complex, Gurukul Rd, opp. Janta ice Cream, Memnagar, Ahmedabad, Gujarat 380052, India"
158457,New York Waffles & Dinges,"Vastrapur,Ahmedabad",3.8,100+ ratings,250,"Waffle,Beverages","New York Waffles & Dinges, 15 G.F. Mangal- Jyot Society, Opp. Aristo Ville, Jodhpur Char Rasta, Satellite, Rajshree Flat,, Ahmedabad Municipal Corporation, Ahmedabad Municipal Corporation, Gujarat, 380015"
415807,Chat Corner,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,Chinese,"Chat Corner, IIM Residency Gate IIM Road Gujarat University Vastrapur Ahmedabad-380052"
481731,Smor & Mel,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,"Bakery,Desserts","Smor & Mel, Shop 214, Gala Empire, Drive In Rd, Opp. Doordarshan tower, Thaltej, Ahmedabad, Gujarat 380059, India"
414836,Lion'S Kitchen,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"Italian,Indian","Lion'S Kitchen, ALL NO -09,OPP.INFO TOWER,S.G.HIGHWAY,BODAKDEV,AHMEDABAD.380054"
509071,Ghee Gud (SG Road),"Vastrapur,Ahmedabad",0,Too Few Ratings,250,Rajasthani,"Ghee Gud (SG Road), FF, ZODIAC SQUARE, OPP. GURUDWARA, S G HIGHWAY, BODAKDEV, AHMEDABAD-380054"
217533,A1 Paratha,"Vastrapur,Ahmedabad",4.3,1K+ ratings,200,North Indian,"A1 Paratha, Drive In Shopping Centre, Near Indraprasth Tower, Drive In Road, Gurukul, Ahmedabad,Vastrapur,Ahmedabad"
260220,Fitfuel & Co,"Vastrapur,Ahmedabad",3.8,20+ ratings,500,Indian,"Fitfuel & Co, GF-20, Galaxy Bazar, Opp sunrise park, Vastrapur Ahmedabad, Gujarat 380052, India"
513577,Winnie the Pooh Cafe and Cooking School,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"Italian,Fast Food","Winnie the Pooh Cafe and Cooking School, GF/7 SHIVALIK SHILP OPP SHRIFAL HOTEL S G HIGHWAY AHMEDABAD-380015"
511398,Meal In A Box,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,"North Indian,Indian","Meal In A Box, 4th Floor, Ship Epitom, Off Sindhu Bhavan Road, Near Rajpath Club, Bodakdev, Ahmedabad"
400971,The Secret Kitchen,"Vastrapur,Ahmedabad",0,Too Few Ratings,1300,North Indian,"The Secret Kitchen, The Secret Kitchen, 2nd floor, Times Square 2, Beside Avalon Hotel, Sindhu Bhavan Marg, Thaltej, Ahmedabad, Gujarat 380054"
319888,Chai Coffee Point,"Vastrapur,Ahmedabad",0,Too Few Ratings,200,"Snacks,Beverages","Chai Coffee Point, 8 shubham complex , Sanjivni hospital ni same Code ,vastrapur Ahmedabad, Ahmedabad . , Ahmedabad Municipal Corporation, Ahmedabad Municipal Corporation, Gujarat - 380015	"
488488,Shri Gokul Dairy Farm,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,Sweets,"Shri Gokul Dairy Farm, 10, UMIYAVIJAY SHOPPING CENTER,OPP.BIMANAGAR,SATELLITE ROAD,AHMEDABAD-380015"
526751,London Dairy,"Vastrapur,Ahmedabad",0,Too Few Ratings,280,"Ice Cream,Desserts","London Dairy, ANSHI LIFE STYLE PHARMACY,SHOP NO.7,GROUND FLOOR,KUNDALINI COMPLEX,OPP.VASTRAPUR LAKE,VASTRAPUR,AHMEDABAD,GUJARAT- 380015"
443016,Dum Pe Dum,"Vastrapur,Ahmedabad",4.2,20+ ratings,500,"Biryani,Indian","Dum Pe Dum, ""S-1, S-2, SHAILABH COMPLEX, OPP. SHANJIVANI HOSPITAL, OPP. VASTRAPUR LAKE, BODAKDEV, AHMEDABAD, Ahmedabad Municipal Corporation, Ahmedabad Municipal Corporation, Gujarat-380054 """
224293,Cake Eggless,"Vastrapur,Ahmedabad",4.1,20+ ratings,600,Desserts,"Cake Eggless, L 7/97 vidyanagar ,Near Azad SOC, Amedabad"
59956,Shakti - The Sandwich Shop,"Vastrapur,Ahmedabad",3.5,100+ ratings,250,Pizzas,"Shakti - The Sandwich Shop, 16, Millenium Plaza, Opposite Swaminarayan Mandir, Mansi Circle, Bodakdev, Ahmedabad"
526750,Rabdi King Om Kaka,"Vastrapur,Ahmedabad",0,Too Few Ratings,250,"Sweets,Beverages","Rabdi King Om Kaka, F-101,ARYAMAN AAVAS,NR,DEVASHISH BUSINESS PARK OPP.SAIBABA MANDIR,BODAKDEV-"
283216,Express By Ab'S,"Vastrapur,Ahmedabad",3.5,50+ ratings,400,"Biryani,North Indian","Express By Ab'S, Shivalik Shilp, 2ND, Ambli Rd, Sanidhya, Ahmedabad, Gujarat 380015"
547434,Kinara Eleven,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,Chinese,"Kinara Eleven, food ikon S.G highway opp iskon mega mall near rajpath restaurant iskon bodakdev ahmedabad"
59959,Bread Box,"Vastrapur,Ahmedabad",4.4,50+ ratings,250,Fast Food,"Bread Box, 47, Rudra Square, Opp pride plaza hotel, Nr judges bunglow cross road, Bodakdev, Ahmedabad"
44500,The Belgian Waffle Co.,"Vastrapur,Ahmedabad",4.4,50+ ratings,200,"Desserts,Beverages","The Belgian Waffle Co., Opposite Advait Complex, Near Sandesh Press, Vastrapur, Ahmedabad"
91574,Dangee Dums,"Vastrapur,Ahmedabad",4.5,50+ ratings,400,"Desserts,Bakery","Dangee Dums, 35, Rudra Square, Opp. Pride Hotel, Judges Bungalow Road, Bodakdev, Ahmedabad"
179463,Subway,"Vastrapur,Ahmedabad",4.1,100+ ratings,350,"Fast Food,Healthy Food","Subway, Ground Floor, Shilp Square, A Wing, opp. himalaya Mall, Drive Inn Road, Vastrapur, Ahmedabad."
39275,Firangi Bake,"Vastrapur,Ahmedabad",4,20+ ratings,400,"Italian,Mexican","Firangi Bake, SHOP NO 2, HOTEL SHAHI PALACE ,VASTRAPUR LAKE, AHMEDABAD,GUJARAT"
435826,Eat Punjab,"Vastrapur,Ahmedabad",4.1,500+ ratings,500,"North Indian,Indian","Eat Punjab, First floor, shop no. 102, shilp square B, opp himalaya mall, gurukul road,  Bodekdev, Ahmedabad"
41112,Huber & Holly,"Vastrapur,Ahmedabad",4.3,100+ ratings,500,"Pizzas,Beverages","Huber & Holly, Huber N holly, 7 B, Circle B, Opposite Rajpath Club, Sarkhej, Gandhinagar Highway, Bodakdev, Ahmedabad"
434735,Bhullar S Butter Chicken Co.,"Vastrapur,Ahmedabad",4,20+ ratings,400,"Indian,Desserts","Bhullar S Butter Chicken Co., 39, GF Om tower, Nr Star Bazaar, Jodhpur Crossroads, Satellite, Ahmedabad"
570436,Punjabi khana khajana,"Vastrapur,Ahmedabad",0,Too Few Ratings,500,"North Indian,Thalis","Punjabi khana khajana, 66,F.F. Sardar Centre Vastrapur, ahmedabad, 380015, Bodakdev ( New West Zone ) AHMEDABAD, Ahmedabad,Municipal Corporation, Ahmedabad,Gujarat,380015"
499013,Fine Chinese,"Vastrapur,Ahmedabad",0,Too Few Ratings,300,"Chinese,Snacks","Fine Chinese, L-2, Akruti Complex, Nr. Vastrapur Lake, Vastrapur, Ahmedabad-380015"
41117,Havmor Havfunn ice cream,"Vastrapur,Ahmedabad",4,20+ ratings,200,"Ice Cream,Ice Cream Cakes","Havmor Havfunn ice cream, Opp. Isszu showroom, B/h Grand Bhagvati hotel, S.G. highway road, Ahmedabad- 380052"
